iter	TotalF1:average=Macro	MultiClass
457	0.5397590063	0.9274182775
458	0.5396169003	0.9273697018
459	0.5395784605	0.9273373862
460	0.5396430754	0.9273016794
461	0.5396314041	0.9272556509
462	0.5397702634	0.927212203
463	0.5397719077	0.927162575
464	0.539915262	0.9270931794
465	0.5399222143	0.9270348139
466	0.5399960424	0.9270021031
467	0.5400204803	0.9269562692
468	0.5400664112	0.9269063107
469	0.5400159793	0.9268496584
470	0.5399682431	0.9267939685
471	0.539940805	0.9267385732
472	0.5400339177	0.9266832999
473	0.540066386	0.9266351247
474	0.5399963718	0.9265970497
475	0.5400845513	0.9265369017
476	0.5401863215	0.9264922708
477	0.540213442	0.9264483585
478	0.5401734207	0.926405353
479	0.5401794457	0.926365841
480	0.5403206419	0.9263180901
481	0.540366049	0.9262440766
482	0.5403720436	0.9261689192
483	0.5403758892	0.9261379251
484	0.5405615458	0.9260791115
485	0.5406079114	0.9260234375
486	0.5406129212	0.9259684173
487	0.5406791755	0.9259184353
488	0.540841323	0.9258764444
489	0.5408832851	0.9258262141
490	0.5408318375	0.9257887148
491	0.5408653869	0.9257470063
492	0.5408634928	0.9256929671
493	0.5409603723	0.9256191395
494	0.5410485146	0.9256011712
495	0.541056861	0.9255460036
496	0.5411528735	0.9254864683
497	0.5411573118	0.9254324973
498	0.5411489202	0.9253991899
499	0.5409730769	0.9253479407
500	0.5410443665	0.9252988549
501	0.5413081758	0.9252362953
502	0.5411777936	0.9251913807
503	0.5412439416	0.9251588359
504	0.54122177	0.9251135952
505	0.5412441241	0.9250797016
506	0.5413580091	0.9250113326
507	0.54131972	0.9249809951
508	0.5413359318	0.9249304318
509	0.5412963422	0.924895517
510	0.5413471161	0.9248381196
511	0.541475153	0.9247899303
512	0.54142304	0.9247464885
513	0.5414186286	0.9247096953
514	0.5414765603	0.9246631363
515	0.5415495154	0.9246217837
516	0.5414771452	0.9245900389
517	0.5413339718	0.9245362489
518	0.5413496791	0.9244844131
519	0.5412695892	0.9244293802
520	0.5413379368	0.9244022987
521	0.5413730797	0.9243781248
522	0.5413845265	0.924336995
523	0.5414327812	0.9243053596
524	0.5416141036	0.9242530351
525	0.5415903473	0.924199689
526	0.5417488838	0.9241398896
527	0.5417787504	0.9241135013
528	0.541761068	0.9240742692
529	0.5417363164	0.924033175
530	0.5417896361	0.9239900149
531	0.541885817	0.9239609512
532	0.5419085292	0.9238997696
533	0.5419333444	0.9238547765
534	0.542044834	0.9238024646
535	0.5419826419	0.9237605524
536	0.5420186679	0.9237208892
537	0.5419494361	0.9236793842
538	0.5419659425	0.9236449404
539	0.5420195416	0.9235970371
540	0.5420326764	0.9235724257
541	0.5420882604	0.923554052
542	0.5421716365	0.9235120848
543	0.542207546	0.9234656008
544	0.5421883077	0.9234226374
545	0.5421915982	0.9233822303
546	0.5422167285	0.9233544888
547	0.5421844749	0.9233115073
548	0.5422624468	0.9232664926
549	0.5422606739	0.9232250647
550	0.5422727238	0.9231824189
551	0.542257591	0.9231409264
552	0.542343076	0.9230950668
553	0.5423488749	0.9230466154
554	0.5423990959	0.9230162953
555	0.5424966708	0.9229981673
556	0.5425911448	0.9229549851
557	0.5426329671	0.9229132674
558	0.5428133889	0.9228536846
559	0.5428618237	0.9228254156
560	0.5428685401	0.9228037337
561	0.5428741493	0.9227510634
562	0.5428859244	0.9227070355
563	0.5428070468	0.9226562001
564	0.5427655067	0.9225978332
565	0.5428938064	0.9225656335
566	0.5429577208	0.9225122388
567	0.542974834	0.9224791814
568	0.5429257624	0.9224341251
569	0.5430087654	0.9223920917
570	0.5430811519	0.9223519023
571	0.5431762941	0.9222778694
572	0.5431074114	0.9222486536
573	0.5433225179	0.9222016288
574	0.5433329481	0.9221605335
575	0.5435093193	0.9221338301
576	0.5435124491	0.9220955867
577	0.5436309525	0.9220492995
578	0.5437377655	0.922000676
579	0.5437014897	0.9219608629
580	0.5438593012	0.9219116472
581	0.5438486002	0.9218640515
582	0.5439237624	0.9218252044
583	0.5439803721	0.9217784769
584	0.5439791693	0.9217313694
585	0.5439043934	0.9217068372
586	0.5438775523	0.9216780501
587	0.5438253378	0.921653354
588	0.5438997538	0.9216302664
589	0.5439588173	0.9215963912
590	0.543973991	0.9215668388
591	0.5439945628	0.921522319
592	0.5440344548	0.9214781204
593	0.5441209838	0.9214350107
594	0.5445754779	0.9214022266
595	0.5446054441	0.9213688502
596	0.544442699	0.9213300913
597	0.5445471168	0.9212787053
598	0.5445117599	0.9212382352
599	0.5446879489	0.9212002138
600	0.5445952151	0.9211660508
601	0.5447866914	0.9211249674
602	0.5448557948	0.9210856191
603	0.5448788866	0.9210508868
604	0.545055609	0.9210231739
605	0.5450228442	0.9209919712
606	0.545137398	0.9209511031
607	0.5452366029	0.9209100552
608	0.5452853652	0.9208709471
609	0.5452695349	0.9208374966
610	0.545198799	0.9208113223
611	0.545217999	0.9207816918
612	0.5452532327	0.920747986
613	0.545302783	0.9206932982
614	0.5454137688	0.9206562405
615	0.5454262189	0.9206123135
616	0.5455751175	0.9205711032
617	0.5455098793	0.9205257096
618	0.5456128676	0.920484249
619	0.5456976033	0.9204478643
620	0.5457373763	0.9203993837
621	0.5457824102	0.9203579905
622	0.5457626138	0.9203096426
623	0.5457031139	0.9202641122
624	0.5457754752	0.9202145414
625	0.5458105135	0.920175283
626	0.545798539	0.9201462909
627	0.5457768625	0.9201116645
628	0.5458075501	0.9200648939
629	0.5457838095	0.9200137682
630	0.5460395323	0.9199674387
631	0.5460428015	0.9199287358
632	0.5461518157	0.9198814025
633	0.5460597005	0.9198621354
634	0.5460419327	0.9198202614
635	0.5461894515	0.9197844383
636	0.5461177096	0.9197423545
637	0.5462395292	0.9197152332
638	0.5462465131	0.9196645249
639	0.5463158622	0.9196287926
640	0.5462376192	0.9195852023
641	0.5460090786	0.9195455158
642	0.5459938506	0.9195086622
643	0.5461174207	0.9194579714
